,mean,std,cv
disqus_FlNfEklGmu.jsonl.gz,1.0,0.0,0.0
disqus_7wWSkrlSUC.jsonl.gz,1.0,0.0,0.0
corto59.jsonl.gz,1.0,0.0,0.0
disqus_7UjSXO7HOt.jsonl.gz,1.0,0.0,0.0
disqus_Z7a6Swdzvi.jsonl.gz,1.0,0.0,0.0
nevadabruce.jsonl.gz,1.0,0.0,0.0
cooterbug.jsonl.gz,1.0,0.0,0.0
autigerusctrojan.jsonl.gz,1.0,0.0,0.0
disqus_C0yfzTeMcE.jsonl.gz,1.0,0.0,0.0
gaylenanderson.jsonl.gz,1.0,0.0,0.0
disqus_CKPUnt4LPX.jsonl.gz,1.0,0.0,0.0
Fred_Z.jsonl.gz,1.0,0.0,0.0
roydubay.jsonl.gz,1.0,0.0,0.0
disqus_HaWdppmKRk.jsonl.gz,1.0,0.0,0.0
attiliociampini66.jsonl.gz,1.0,0.0,0.0
disqus_eNNB6EtYUq.jsonl.gz,1.0,0.0,0.0
disqus_fSYNTlZ0Y2.jsonl.gz,1.0,0.0,0.0
geneziesel.jsonl.gz,2.0,0.0,0.0
imzem.jsonl.gz,1.0,0.0,0.0
jamesrizzuti.jsonl.gz,1.0,0.0,0.0
JimInCalifornia.jsonl.gz,1.0,0.0,0.0
disqus_VWhLUfNAps.jsonl.gz,1.0,0.0,0.0
disqus_nsbv8ZDQdO.jsonl.gz,1.0,0.0,0.0
lunchbox87.jsonl.gz,1.0,0.0,0.0
patrickgoranson.jsonl.gz,1.0,0.0,0.0
disqus_nddjg36uEv.jsonl.gz,1.0,0.0,0.0
nancyterrell.jsonl.gz,1.0,0.0,0.0
lisalaudanistripp.jsonl.gz,1.0,0.0,0.0
disqus_L2w0In4cfl.jsonl.gz,1.0,0.0,0.0
susanroannew.jsonl.gz,1.0,0.0,0.0
Maja_Dacke.jsonl.gz,1.0,0.0,0.0
tbone_whiz.jsonl.gz,1.0,0.0,0.0
gilcarlson.jsonl.gz,1.0,0.0,0.0
disqus_6eyj6kuV8w.jsonl.gz,1.0,0.0,0.0
disqus_gL7vYqEnjD.jsonl.gz,1.0,0.0,0.0
jeffreybertch.jsonl.gz,1.0,0.0,0.0
disqus_GreatBend.jsonl.gz,1.0,0.0,0.0
Euclid22.jsonl.gz,1.0,0.0,0.0
disqus_yYeBDkETWB.jsonl.gz,1.0,0.0,0.0
disqus_K93AtbbBsu.jsonl.gz,1.0,0.0,0.0
willabella.jsonl.gz,1.0,0.0,0.0
aimeelfaolcom.jsonl.gz,1.0,0.0,0.0
bartallonyou.jsonl.gz,1.0,0.0,0.0
djtx.jsonl.gz,1.0,0.0,0.0
teddyandlauramyers.jsonl.gz,1.0,0.0,0.0
enrico_caruso.jsonl.gz,1.0,0.0,0.0
disqus_5EPakx8DrX.jsonl.gz,1.0,0.0,0.0
delanemccurry.jsonl.gz,1.0,0.0,0.0
jeffyahoocom.jsonl.gz,1.0,0.0,0.0
dan_henry.jsonl.gz,1.0,0.0,0.0
svenster.jsonl.gz,1.0,0.0,0.0
worldscam.jsonl.gz,1.0,0.0,0.0
AubeO.jsonl.gz,1.0,0.0,0.0
davidrummler.jsonl.gz,1.0,0.0,0.0
davidrduringer.jsonl.gz,1.0,0.0,0.0
timGa.jsonl.gz,1.0,0.0,0.0
noelgoetz.jsonl.gz,1.0,0.0,0.0
mfnator.jsonl.gz,1.0,0.0,0.0
disqus_v6DlvtNDD4.jsonl.gz,1.0,0.0,0.0
jccbama.jsonl.gz,1.0,0.0,0.0
umair_farooqui.jsonl.gz,1.0,0.0,0.0
Jim_Lakely.jsonl.gz,1.0,0.0,0.0
spencermacdonald.jsonl.gz,1.0,0.0,0.0
disqus_POSawfarXO.jsonl.gz,1.0,0.0,0.0
disqus_tK2lMoRq5t.jsonl.gz,1.0,0.0,0.0
wwjdroy.jsonl.gz,1.0,0.0,0.0
tnothnagle.jsonl.gz,1.0,0.0,0.0
disqusdfp.jsonl.gz,1.0,0.0,0.0
disqus_czFkSX6Jww.jsonl.gz,1.0,0.0,0.0
dav4life.jsonl.gz,1.0,0.0,0.0
lyndanarug.jsonl.gz,1.0,0.0,0.0
DrFine.jsonl.gz,1.0,0.0,0.0
richardlakatos.jsonl.gz,1.0,0.0,0.0
IndependentDEvoter.jsonl.gz,1.0,0.0,0.0
FranklinELeachCPA.jsonl.gz,1.0,0.0,0.0
bglevy.jsonl.gz,1.0,0.0,0.0
disqus_tc1n3KgOpA.jsonl.gz,1.0,0.0,0.0
disqus_concernedhuman.jsonl.gz,1.0,0.0,0.0
disqus_OQYYfzJEkO.jsonl.gz,1.0,0.0,0.0
deejay02.jsonl.gz,1.0,0.0,0.0
rick_huss.jsonl.gz,1.0,0.0,0.0
DorsetBloke.jsonl.gz,1.0,0.0,0.0
MEC2.jsonl.gz,1.0,0.0,0.0
garithkart.jsonl.gz,1.0,0.0,0.0
disqus_3hyqu4iWhN.jsonl.gz,1.0,0.0,0.0
thubandraconis.jsonl.gz,1.0,0.0,0.0
JoeKing42.jsonl.gz,1.0,0.0,0.0
davidremmler.jsonl.gz,1.0,0.0,0.0
citiman897.jsonl.gz,1.0,0.0,0.0
disqus_EdiYyiTdHK.jsonl.gz,1.0,0.0,0.0
disqus_oyZ8OpbpXz.jsonl.gz,1.0,0.0,0.0
mtnjak.jsonl.gz,1.0,0.0,0.0
2pieR314.jsonl.gz,1.0,0.0,0.0
dmagliochette.jsonl.gz,1.0,0.0,0.0
disqus_YMw8jWJDrC.jsonl.gz,1.0,0.0,0.0
disqus_XaBkccUS1L.jsonl.gz,1.0,0.0,0.0
disqus_sLFDjDxnKJ.jsonl.gz,1.0,0.0,0.0
bobhe51.jsonl.gz,1.0,0.0,0.0
tcim.jsonl.gz,1.0,0.0,0.0
j_maier.jsonl.gz,3.0,0.0,0.0
klemmster1963.jsonl.gz,1.0,0.0,0.0
annabelghastly.jsonl.gz,1.0,0.0,0.0
classpunk.jsonl.gz,1.0,0.0,0.0
harrystolzy.jsonl.gz,1.0,0.0,0.0
46onetimehippy.jsonl.gz,1.0,0.0,0.0
marjeanfieldhouse.jsonl.gz,1.0,0.0,0.0
woodsterman.jsonl.gz,1.0,0.0,0.0
davidskurnick.jsonl.gz,1.0,0.0,0.0
