,mean,std,cv
jimkiser.jsonl.gz,1.0,0.0,0.0
hodad_1.jsonl.gz,1.0,0.0,0.0
disqus_pXS0x3FXgJ.jsonl.gz,1.0,0.0,0.0
dianaminners.jsonl.gz,1.0,0.0,0.0
stevekamieniecki.jsonl.gz,1.0,0.0,0.0
disqus_Uz5ircSEa6.jsonl.gz,1.0,0.0,0.0
tesshm.jsonl.gz,1.0,0.0,0.0
akzz.jsonl.gz,1.0,0.0,0.0
kennethsowden.jsonl.gz,1.0,0.0,0.0
disqus_14PwsiIH7Q.jsonl.gz,1.0,0.0,0.0
JoyComes.jsonl.gz,1.0,0.0,0.0
Daveideowen.jsonl.gz,1.0,0.0,0.0
disqus_MlbnN6GKXM.jsonl.gz,1.0,0.0,0.0
kfewford.jsonl.gz,1.0,0.0,0.0
abbcdd.jsonl.gz,1.0,0.0,0.0
jimgriep.jsonl.gz,1.0,0.0,0.0
Eiderdown61.jsonl.gz,1.0,0.0,0.0
tim5073.jsonl.gz,1.0,0.0,0.0
jimfrmpaloalto.jsonl.gz,2.0,0.0,0.0
writerunknown.jsonl.gz,1.0,0.0,0.0
arllenea.jsonl.gz,1.0,0.0,0.0
sidelinesobserver.jsonl.gz,1.0,0.0,0.0
johnthayer.jsonl.gz,1.0,0.0,0.0
capt_ken.jsonl.gz,1.0,0.0,0.0
disqus_puGGTgUe4n.jsonl.gz,1.0,0.0,0.0
adamshun.jsonl.gz,1.0,0.0,0.0
disqus_JqruRBDNIC.jsonl.gz,1.0,0.0,0.0
disqus_m0JSXaXwCP.jsonl.gz,1.0,0.0,0.0
disqus_LYiFkVSQR7.jsonl.gz,1.0,0.0,0.0
kriskooper.jsonl.gz,1.0,0.0,0.0
hannaheriksen.jsonl.gz,1.0,0.0,0.0
enemyofthehive.jsonl.gz,1.0,0.0,0.0
carolmandichbeck.jsonl.gz,1.0,0.0,0.0
rybashka.jsonl.gz,1.0,0.0,0.0
disqus_8vulkCBbo1.jsonl.gz,1.0,0.0,0.0
brainnee1.jsonl.gz,1.0,0.0,0.0
zoriahmattern.jsonl.gz,1.0,0.0,0.0
brettrevlett.jsonl.gz,1.0,0.0,0.0
stovebolt6.jsonl.gz,1.0,0.0,0.0
disqus_VCGFVFGmY4.jsonl.gz,1.0,0.0,0.0
GreeneGhost.jsonl.gz,1.0,0.0,0.0
joshuadbird.jsonl.gz,1.0,0.0,0.0
TomRoyce.jsonl.gz,1.0,0.0,0.0
disqus_mMyJm1ZnWB.jsonl.gz,1.0,0.0,0.0
patrickinwinona.jsonl.gz,1.0,0.0,0.0
wookie_monster57.jsonl.gz,1.0,0.0,0.0
dbentley.jsonl.gz,1.0,0.0,0.0
pietstrydom.jsonl.gz,1.0,0.0,0.0
blablablaer.jsonl.gz,1.0,0.0,0.0
thersander.jsonl.gz,1.0,0.0,0.0
denise_wolff.jsonl.gz,1.0,0.0,0.0
disqus_MOq4f4kACQ.jsonl.gz,1.0,0.0,0.0
bradhyatt.jsonl.gz,1.0,0.0,0.0
robertdukes.jsonl.gz,1.0,0.0,0.0
disqus_JSzPntmF1Q.jsonl.gz,1.0,0.0,0.0
tammynicholas.jsonl.gz,1.0,0.0,0.0
Goldrush1619.jsonl.gz,1.0,0.0,0.0
disqus_gTLCZVG8NT.jsonl.gz,1.0,0.0,0.0
lanny_camden.jsonl.gz,1.0,0.0,0.0
ruthwiles.jsonl.gz,1.0,0.0,0.0
Debris_DeBlanc.jsonl.gz,1.0,0.0,0.0
BobTheCleaner.jsonl.gz,1.0,0.0,0.0
disqus_8EvQRkQWiS.jsonl.gz,1.0,0.0,0.0
matthewstier.jsonl.gz,1.0,0.0,0.0
lieto2941.jsonl.gz,1.0,0.0,0.0
Muirgeo.jsonl.gz,1.0,0.0,0.0
disqus_zMhnu3oJyj.jsonl.gz,1.0,0.0,0.0
disqus_P3Gebqvcbt.jsonl.gz,1.0,0.0,0.0
azrain.jsonl.gz,6.0,0.0,0.0
disqus_vF5chGdn0D.jsonl.gz,1.0,0.0,0.0
kikisdragon.jsonl.gz,1.0,0.0,0.0
beeko5050.jsonl.gz,1.0,0.0,0.0
pennsyltuckian.jsonl.gz,1.0,0.0,0.0
angainor.jsonl.gz,1.0,0.0,0.0
karen502.jsonl.gz,1.0,0.0,0.0
bobupndown.jsonl.gz,1.0,0.0,0.0
Kevin_O.jsonl.gz,1.0,0.0,0.0
globewarmer.jsonl.gz,1.0,0.0,0.0
montreed.jsonl.gz,1.0,0.0,0.0
michaelrupp.jsonl.gz,1.0,0.0,0.0
interfacegal.jsonl.gz,1.0,0.0,0.0
disqus_ZUSzyzfAYx.jsonl.gz,1.0,0.0,0.0
joaquindcanals.jsonl.gz,1.0,0.0,0.0
aj4usa.jsonl.gz,1.0,0.0,0.0
BobMaschi.jsonl.gz,1.0,0.0,0.0
Lebez.jsonl.gz,1.0,0.0,0.0
disqus_dUio9pRWYN.jsonl.gz,1.0,0.0,0.0
mikedyl.jsonl.gz,1.0,0.0,0.0
H20diverfl.jsonl.gz,1.0,0.0,0.0
billionairegore.jsonl.gz,1.0,0.0,0.0
brumbiecarter.jsonl.gz,1.0,0.0,0.0
KinderBenzer.jsonl.gz,1.0,0.0,0.0
disqus_hcr02RXAxm.jsonl.gz,1.0,0.0,0.0
belize2020.jsonl.gz,1.0,0.0,0.0
adpaterson79.jsonl.gz,1.0,0.0,0.0
luchogatica.jsonl.gz,1.0,0.0,0.0
nickloizzi.jsonl.gz,1.0,0.0,0.0
ggchet.jsonl.gz,1.0,0.0,0.0
disqus_GntS98Snhd.jsonl.gz,1.0,0.0,0.0
stevebrame.jsonl.gz,1.0,0.0,0.0
disqus_ufaMiRO28e.jsonl.gz,1.0,0.0,0.0
tsatomic.jsonl.gz,1.0,0.0,0.0
pilotalan.jsonl.gz,1.0,0.0,0.0
Shar44.jsonl.gz,1.0,0.0,0.0
davidresh.jsonl.gz,1.0,0.0,0.0
tropical_hunch.jsonl.gz,1.0,0.0,0.0
juneslili.jsonl.gz,1.0,0.0,0.0
disqus_L3NKHqPdIL.jsonl.gz,1.0,0.0,0.0
RoryFlick.jsonl.gz,1.0,0.0,0.0
cuppojoe.jsonl.gz,1.0,0.0,0.0
disqus_1hkydtD7nk.jsonl.gz,1.0,0.0,0.0
saralee958.jsonl.gz,1.0,0.0,0.0
disqus_6qOvcn4rNU.jsonl.gz,1.0,0.0,0.0
hillaryrobertskloetzli.jsonl.gz,1.0,0.0,0.0
disqus_wCbghUtMY4.jsonl.gz,1.0,0.0,0.0
uniqorn51.jsonl.gz,1.0,0.0,0.0
kenpoman68.jsonl.gz,1.0,0.0,0.0
relli90.jsonl.gz,1.0,0.0,0.0
MicahStone.jsonl.gz,1.0,0.0,0.0
johnsmuda.jsonl.gz,1.0,0.0,0.0
disqus_Au1yngl5Pm.jsonl.gz,1.0,0.0,0.0
bernardgarvey.jsonl.gz,1.0,0.0,0.0
armadilloranch75418.jsonl.gz,1.0,0.0,0.0
kenlovejoy.jsonl.gz,1.0,0.0,0.0
disqus_nSS0qlG3Kl.jsonl.gz,1.0,0.0,0.0
karen_bull.jsonl.gz,1.0,0.0,0.0
Breakneck.jsonl.gz,1.0,0.0,0.0
larhof52.jsonl.gz,1.0,0.0,0.0
disqus_Tm0cKjEgfM.jsonl.gz,1.0,0.0,0.0
AmericanPatriot4.jsonl.gz,1.0,0.0,0.0
blackstrat.jsonl.gz,1.0,0.0,0.0
divadregeurk.jsonl.gz,1.0,0.0,0.0
itachi007.jsonl.gz,1.0,0.0,0.0
SilentProlix.jsonl.gz,1.0,0.0,0.0
disqus_EfQuZUSuRe.jsonl.gz,1.0,0.0,0.0
thegreatwalrus.jsonl.gz,1.0,0.0,0.0
mwells.jsonl.gz,1.0,0.0,0.0
disqus_OwV7jUoZBS.jsonl.gz,1.0,0.0,0.0
swiftouch.jsonl.gz,1.0,0.0,0.0
foresteconomist.jsonl.gz,1.0,0.0,0.0
